Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2020348,2020,09/13/2021,Ansonia,230 WAKELEE AVE,150500.00,325000.00,0.463,Commercial,,,,,
20002,2020,10/02/2020,Ashford,390 TURNPIKE RD,253000.00,430000.00,0.5883,Residential,Single Family,,,,
210317,2021,07/05/2022,Avon,53 COTSWOLD WAY,329730.00,805000.00,0.4096,Residential,Single Family,,,,POINT (-72.846365959 41.781677018)
200212,2020,03/09/2021,Avon,5 CHESTNUT DRIVE,130400.00,179900.00,0.7248,Residential,Condo,,,,
200243,2020,04/13/2021,Avon,111 NORTHINGTON DRIVE,619290.00,890000.00,0.6958,Residential,Single Family,,,,
200377,2020,07/02/2021,Avon,70 FAR HILLS DRIVE,862330.00,1447500.00,0.5957,Residential,Single Family,,,,
200109,2020,12/09/2020,Avon,57 FAR HILLS DRIVE,847520.00,1250000.00,0.678,Residential,Single Family,,,,
2020180,2020,03/01/2021,Berlin,1539 FARMINGTON AVE,234200.00,130000.00,1.8015,Residential,Two Family,08 - Part Interest,,,
2020313,2020,07/01/2021,Berlin,216 WATCH HILL RD,412000.00,677500.00,0.6081,Residential,Single Family,,,,
200097,2020,06/04/2021,Bethany,23 AMITY RD,511000.00,795000.00,0.6427,Commercial,,,,,
210045,2021,04/29/2022,Bethlehem,89 LONG MEADOW RD,229900.00,561850.00,0.4091,Residential,Single Family,,,,POINT (-73.21257902 41.666959986)
210101,2021,12/20/2021,Bloomfield,43 LEDYARD AVE,111580.00,209000.00,0.5338,Residential,Single Family,,,,POINT (-72.690802027 41.821341986)
20139,2020,12/16/2020,Bethel,16 DEEPWOOD DRIVE,171360.00,335000.00,0.5115,Residential,Single Family,,,,
200086,2020,08/10/2021,Bethlehem,39 WOODLAND RD,168900.00,352000.00,0.4798,Residential,Single Family,,,,POINT (-73.18197 41.64672)
2000381,2020,09/13/2021,Bloomfield,9 SADDLE RIDGE,163730.00,250000.00,0.6549,Residential,Condo,,,,
200258,2020,01/22/2021,Branford,34 SUNRISE COVE CAMP,530500.00,700000.00,0.7578,Residential,Single Family,,WATERFRONT/COTTAGE ONLY/LAND IS ASSOCIATION OWNED,,
210035,2021,10/20/2021,Branford,25 QUARRY DOCK RD,208100.00,448000.00,0.4645,Residential,Condo,,,,POINT (-72.815906039 41.268214998)
210748,2021,01/14/2022,Bridgeport,360 VINCELLETTE ST,160776.00,315000.00,0.5104,Residential,Single Family,,,,POINT (-73.219385964 41.215379001)
